Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile
2024-06-25	2024-06-21	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	44.04	7e+05	17,307,598	+4%	+$30,828,270	30828000	18:52:35	4
2024-06-25	2024-06-21	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	8.63	71043	9,390,858	+1%	+$613,124	613101.09	17:56:31	4
2024-06-25	2024-06-20	NUVB	Nuvation Bio Inc.	Cui Xiangmin	Dir	P - Purchase	2.98	5e+05	6,672,344	+8%	+$1,492,385	1490000	17:45:38	5
2024-06-25	2024-06-21	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	21.29	97000	2,480,486	+4%	+$2,065,568	2065130	17:11:24	4
2024-06-25	2024-06-23	NRBO	Neurobo Pharmaceuticals, Inc.	Dong-A St Co., Ltd	10%	P - Purchase	3.13	2544530	5,348,229	+91%	+$7,964,379	7964378.9	16:16:11	2
2024-06-25	2024-06-21	LILA	Liberty Latin America Ltd.	Paddick Brendan J	Dir	P - Purchase	8.94	4e+05	1,036,108	+63%	+$3,577,620	3576000	16:03:50	4
2024-06-25	2024-06-20	MCFT	Mastercraft Boat Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	19.49	107516	6,661,878	+2%	+$2,095,411	2095486.84	08:33:29	5
2024-06-24	2024-06-20	AESI	Atlas Energy Solutions Inc.	Shepard Gregory M	Member of 10% Owner Group	P - Purchase	19.1	79525	7,402,150	+1%	+$1,518,778	1518927.5	20:48:42	4
2024-06-24	2024-06-20	NN	Nextnav Inc.	Samberg Joseph D	10%	P - Purchase	7.46	315200	12,580,200	+3%	+$2,350,862	2351392	20:16:11	4
2024-06-24	2024-06-20	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.95	174700	8,010,345	+2%	+$1,214,253	1214165	17:00:43	4
2024-06-24	2024-06-21	BEN	Franklin Resources Inc	Johnson Charles B	10%	P - Purchase	22.8	2e+05	92,786,533	0%	+$4,559,040	4560000	12:48:19	3
2024-06-21	2024-06-20	VRE	Veris Residential, Inc.	Nia Mahbod	CEO	P - Purchase	14.32	35000	659,941	+6%	+$501,347	501200	20:29:09	1
2024-06-21	2024-06-14	GDNSF	Goodness Growth Holdings, Inc.	Chicago Atlantic Credit Opportunities, LLC	10%	P - Purchase	0.54	1300078	11,960,722	+12%	+$699,962	702042.12	18:05:40	7
2024-06-21	2024-06-18	DOMO	Domo, Inc.	Daniel Daniel David III	Dir	P - Purchase	6.79	4e+05	727,219	+122%	+$2,717,465	2716000	17:59:44	3
2024-06-21	2024-06-18	ATLN	Atlantic International Corp.	Machinist Robert Barry	Dir	P - Purchase	2.36	728814	728,814	New	+$1,720,001	1720001.04	17:57:18	3
2024-06-21	2024-06-18	CRMT	Americas Carmart Inc	Peterson Adam K	10%	P - Purchase	57.74	26410	768,410	+4%	+$1,524,913	1524913.4	16:32:21	3
2024-06-21	2024-06-18	RMAX	Re/max Holdings, Inc.	Peterson Adam K	10%	P - Purchase	8.31	60629	3,098,472	+2%	+$503,801	503826.99	16:25:01	3
2024-06-21	2024-06-20	FSHP	Flag Ship Acquisition Corp	Whale Management Corp	10%	P - Purchase	10	238000	1,963,000	+14%	+$2,380,000	2380000	16:23:09	1
2024-06-21	2024-06-18	TALO	Talos Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	10.8	3e+05	37,972,904	+1%	+$3,240,000	3240000	16:07:09	3
2024-06-21	2024-06-18	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	43.67	565500	16,607,598	+4%	+$24,695,145	24695385	16:02:12	3
2024-06-21	2024-06-18	ATLN	Atlantic International Corp.	Tenore Michael	GC, Secretary	P - Purchase	2.36	1001694	1,001,694	New	+$2,363,998	2363997.84	15:05:28	3
2024-06-21	2024-06-18	ATLN	Atlantic International Corp.	Broderick Christopher	COO, CFO	P - Purchase	2.36	2004237	2,004,237	New	+$4,729,999	4729999.32	15:04:47	3
2024-06-21	2024-06-18	ATLN	Atlantic International Corp.	Jagid Jeffrey M	CEO	P - Purchase	2.36	3735169	3,735,169	New	+$8,814,999	8814998.84	15:03:41	3
2024-06-20	2024-06-17	IRON	Disc Medicine, Inc.	Bitterman Kevin	Dir	P - Purchase	36	222223	1,149,052	+24%	+$8,000,028	8000028	20:00:05	3
2024-06-20	2024-06-17	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	8.33	264248	9,319,815	+3%	+$2,200,066	2201185.84	18:34:21	3
