X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
M	2024-06-10 16:40:58	2024-06-06	MBWM	Mercantile Bank Corp	Sanchez Nelson F	Dir	P - Purchase	$37.02	+270	2,020	+15%	+$9,995				
M	2024-06-10 16:38:41	2024-06-06	AUB	Atlantic Union Bankshares Corp	Ellett Frank Russell	Dir	P - Purchase	$31.39	+14,467	56,801	+34%	+$454,057				
M	2024-06-10 16:37:14	2024-06-07	PKOH	Park Ohio Holdings Corp	Crawford Matthew V	CEO, COB, Pres, 10%	P - Purchase	$24.08	+10,363	2,869,005	0%	+$249,494				
	2024-06-10 16:34:28	2024-06-07	DSGR	Distribution Solutions Group, Inc.	Zamarripa Robert	Dir	P - Purchase	$30.24	+4,000	33,105	+14%	+$120,960				
	2024-06-10 16:33:51	2024-06-06	OPOF	Old Point Financial Corp	Pl Capital Advisors, LLC	10%	P - Purchase	$14.78	+3,803	637,692	+1%	+$56,218				
	2024-06-10 16:32:18	2024-06-07	SNV	Synovus Financial Corp	Akins D Wayne Jr	EVP, Chief Comm Banking Office	P - Purchase	$37.40	+24,500	45,141	+119%	+$916,300				
	2024-06-10 16:31:05	2024-06-07	AMPS	Altus Power, Inc.	Felton Gregg J	CO-FOUNDER, CEO, Pres, 10%	P - Purchase	$3.99	+34,139	16,139,460	0%	+$136,215				
	2024-06-10 16:28:38	2024-06-07	LDI	Loandepot, Inc.	Martell Frank	CEO, Pres	P - Purchase	$2.09	+25,000	928,120	+3%	+$52,193				
M	2024-06-10 16:27:25	2024-06-06	HWKN	Hawkins Inc	Faulconbridge James A	Dir	P - Purchase	$87.55	+3,300	42,017	+9%	+$288,907				
M	2024-06-10 16:25:59	2024-06-06	BCOV	Brightcove Inc	Edenbrook Capital, LLC	10%	P - Purchase	$2.02	+10,700	6,523,333	0%	+$21,600				
	2024-06-10 16:21:29	2024-06-06	ALTI	Alti Global, Inc.	Ilwaddi Holdings	10%	P - Purchase	$4.72	+20,000	17,984,584	0%	+$94,400				
	2024-06-10 16:21:27	2024-06-07	SYPR	Sypris Solutions Inc	Convis Gary L	Dir	P - Purchase	$1.68	+15,000	421,376	+4%	+$25,200				
	2024-06-10 16:15:11	2024-06-06	AEI	Alset Inc.	Chan Heng Fai Ambrose	CEO, 10%	P - Purchase	$1.11	+6,753	5,393,065	0%	+$7,503				
	2024-06-10 16:14:42	2024-06-10	SHEN	Shenandoah Telecommunications Co/va/	French Christopher E	Pres, CEO	P - Purchase	$16.32	+15,000	1,901,893	+1%	+$244,800				
AM	2024-06-10 16:13:00	2024-03-15	STEM	Stem, Inc.	Buzby David S	Dir	P - Purchase	$1.83	+96,300	737,509	+15%	+$176,178				
M	2024-06-10 16:09:08	2024-06-06	BIRD	Allbirds, Inc.	Levitan Dan	Dir, 10%	P - Purchase	$0.55	+100,000	289,080	+53%	+$54,556				
	2024-06-10 16:08:50	2024-06-10	CLDT	Chatham Lodging Trust	Craven Dennis M	EVP, COO	P - Purchase	$7.88	+12,000	110,943	+12%	+$94,560				
	2024-06-10 16:06:55	2024-06-07	BOC	Boston Omaha Corp	Weisenburger Joshua Paul	CFO	P - Purchase	$13.85	+1,270	22,859	+6%	+$17,590				
	2024-06-10 16:02:38	2024-06-10	BYON	Beyond, Inc.	Lemonis Marcus	Exec COB	P - Purchase	$14.13	+6,920	193,893	+4%	+$97,780				
M	2024-06-10 16:00:20	2024-06-06	CSPI	Csp Inc /ma/	Nerges Joseph R	10%	P - Purchase	$14.13	+2,500	1,358,402	0%	+$35,318				
	2024-06-10 15:34:13	2024-06-07	CAPIX	Calamos Aksia Alternative Credit & Income Fund	Behan Robert	VP	P - Purchase	$10.64	+2,350	43,970	+6%	+$25,000				
	2024-06-10 15:27:32	2024-06-07	BOC	Boston Omaha Corp	Peterson Adam K	CEO, 10%	P - Purchase	$13.97	+7,500	6,743,318	0%	+$104,775				
